|W| [unimplemented_impl]: Unimplemented sceAppMgrIsNonGameProgram import called.
[05:09:50.598] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) v_vertex
[05:09:50.598] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) v_color
[05:09:50.599] |D| [shader::create_parameters]: [BUFFER0  + 8] pa8 = (float4) v_texcoord
[05:09:50.599] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) glstate_matrix_mvp[4]
[05:09:50.600] |D| [shader::create_parameters]: [DEFAULT  + 16] sa16 = (float4) _MainTex_ST
[05:09:50.609] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 51ff737ab5dd6fee07abd4823eef9e605763d4ab31d4a3598e6c168aebb9b5b3
[05:09:50.609] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader 51ff737ab5dd6fee07abd4823eef9e605763d4ab31d4a3598e6c168aebb9b5b3
[05:09:50.611] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (half4) _TintColor
[05:09:50.614] |D| [shader::create_fragment_inputs]: Iterator: pa0 = (half4) v_Color0
[05:09:51.486] |E| [logging::ret_error_impl]: sceNgsVoicePause returned SCE_NGS_ERROR_INVALID_STATE (0x804A0010)
[05:09:52.339] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader f98610d18d2298bc1291e656457790ec3311750ec27d9e62217f9352f1ce3a62
[05:09:52.339] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader f98610d18d2298bc1291e656457790ec3311750ec27d9e62217f9352f1ce3a62
[05:09:52.342] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) v_vertex
[05:09:52.342] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) v_color
[05:09:52.343] |D| [shader::create_parameters]: [BUFFER0  + 8] pa8 = (float4) v_texcoord
[05:09:52.343] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) glstate_matrix_mvp[4]
[05:09:52.344] |D| [shader::create_parameters]: [DEFAULT  + 16] sa16 = (float4) _MainTex_ST
[05:09:52.344] |D| [shader::create_parameters]: [DEFAULT  + 20] sa20 = (half4) _Color
[05:09:52.355] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader e51a773c7ae1fde2f852aea18a844b8f093d0d46e8a55fdef5d9f32017704b3d
[05:09:52.356] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader e51a773c7ae1fde2f852aea18a844b8f093d0d46e8a55fdef5d9f32017704b3d
[05:09:52.358] |D| [shader::create_fragment_inputs]: Iterator: pa0 = (half4) v_Color0
[05:09:59.151] |I| [load_module]: Loading module ID: 0x4C
[05:09:59.190] |I| [load_self]: sys/external/libsceavplayer.suprx: Skipping special segment 0x6FFFFF01...
[05:09:59.190] |I| [load_self]: Loaded module segment 0 @ [0x11CBF000 - 0x11CD39FC / 0x81000000] (size: 0x000149FC) of module sys/external/libsceavplayer.suprx
[05:09:59.191] |I| [load_self]: Loaded module segment 1 @ [0x03254000 - 0x0325406C / 0x81015000] (size: 0x0000006C) of module sys/external/libsceavplayer.suprx
[05:09:59.192] |I| [load_self]: Linking SELF sys/external/libsceavplayer.suprx...
[05:09:59.192] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x11CD0D40
[05:09:59.193] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x11CCF548
[05:09:59.194] |I| [load_module]: Module SceAvPlayer (at "sys/external/libsceavplayer.suprx") loaded
[05:09:59.194] |D| [load_module]: Running module_start of module: SceAvPlayer
[05:09:59.196] |I| [load_module]: Module SceAvPlayer (at "sys/external/libsceavplayer.suprx") module_start returned 0x0
[05:09:59.223] |I| [load_self]: sys/external/libscemp4.suprx: Skipping special segment 0x6FFFFF01...
[05:09:59.223] |I| [load_self]: Loaded module segment 0 @ [0x11CD4000 - 0x11CE3D20 / 0x81000000] (size: 0x0000FD20) of module sys/external/libscemp4.suprx
[05:09:59.224] |I| [load_self]: Loaded module segment 1 @ [0x03255000 - 0x03255028 / 0x81010000] (size: 0x00000028) of module sys/external/libscemp4.suprx
[05:09:59.225] |I| [load_self]: Linking SELF sys/external/libscemp4.suprx...
[05:09:59.226] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x11CE39D0
[05:09:59.226] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x11CE28C4
[05:09:59.227] |I| [load_module]: Module SceMp4 (at "sys/external/libscemp4.suprx") loaded
[05:10:00.256] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets10.assets.resG (target path: app0:/Media/sharedassets10.assets.resG)
[05:10:00.257] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:00.258] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets10.assets.res (target path: app0:/Media/sharedassets10.assets.res)
[05:10:00.259] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:00.260] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets10.assets.resS (target path: app0:/Media/sharedassets10.assets.resS)
[05:10:00.261] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:00.262] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level9.resG (target path: app0:/Media/level9.resG)
[05:10:00.263] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:00.263] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level9.res (target path: app0:/Media/level9.res)
[05:10:00.264] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:00.265] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level9.resS (target path: app0:/Media/level9.resS)
[05:10:00.265] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:00.936] |I| [export_sceIoOpen]: Opening file: app0:/Media/StreamingAssets/PRE_INTRO_PS_VITA.mp4
[05:10:01.057] |W| [stubbed_impl]: Stubbed sceVideodecQueryMemSize import called. (fake size)
[05:10:01.078] |W| [stubbed_impl]: Stubbed sceCodecEngineAllocMemoryFromUnmapMemBlock import called. (fake vaddr)
[05:10:01.083] |W| [stubbed_impl]: Stubbed sceAudiodecGetContextSize import called. (fake size)
[05:10:01.148] |E| [logging::ret_error_impl]: _sceKernelWaitCond returned SCE_KERNEL_ERROR_WAIT_TIMEOUT (0x80028005)
[05:10:01.160] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Resources/unity default resources.resG (target path: app0:/Media/Resources/unity default resources.resG)
[05:10:01.161] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:01.163] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Resources/unity default resources.res (target path: app0:/Media/Resources/unity default resources.res)
[05:10:01.164] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:01.165] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Resources/unity default resources.resS (target path: app0:/Media/Resources/unity default resources.resS)
[05:10:01.165] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:01.179] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 96cad6a5f9fd1fa9658854d96f86a36fcfdfd2e31cfb0a353441343cfc5d82fb
[05:10:01.179] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader 96cad6a5f9fd1fa9658854d96f86a36fcfdfd2e31cfb0a353441343cfc5d82fb
[05:10:01.182] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) v_vertex
[05:10:01.182] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) v_color
[05:10:01.183] |D| [shader::create_parameters]: [BUFFER0  + 8] pa8 = (float4) v_texcoord
[05:10:01.184] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) glstate_matrix_mvp[4]
[05:10:01.184] |D| [shader::create_parameters]: [DEFAULT  + 16] sa16 = (float4) _MainTex_ST
[05:10:01.193] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 0c78420235c0a11edbb0d160f534b452429340473e63008d1332840cae047157
[05:10:01.196] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader 0c78420235c0a11edbb0d160f534b452429340473e63008d1332840cae047157
[05:10:01.198] |D| [shader::create_fragment_inputs]: Iterator: pa0 = (half4) v_Color0
[05:10:02.071] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[05:10:02.071] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[05:10:07.016] |W| [stubbed_impl]: Stubbed sceCodecEngineFreeMemoryFromUnmapMemBlock import called. (always return success)
[05:10:08.350] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets9.assets.resG (target path: app0:/Media/sharedassets9.assets.resG)
[05:10:08.351] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:08.352] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets9.assets.res (target path: app0:/Media/sharedassets9.assets.res)
[05:10:08.352] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:08.353] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets9.assets.resS (target path: app0:/Media/sharedassets9.assets.resS)
[05:10:08.354] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:08.378] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level8.resG (target path: app0:/Media/level8.resG)
[05:10:08.379] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:08.380] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level8.res (target path: app0:/Media/level8.res)
[05:10:08.381] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:08.382] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level8.resS (target path: app0:/Media/level8.resS)
[05:10:08.383] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:08.386] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets4.assets.resG (target path: app0:/Media/sharedassets4.assets.resG)
[05:10:08.388] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:08.389] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets4.assets.res (target path: app0:/Media/sharedassets4.assets.res)
[05:10:08.390] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:08.391] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets4.assets.resS (target path: app0:/Media/sharedassets4.assets.resS)
[05:10:08.392] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:08.397] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets6.assets.resG (target path: app0:/Media/sharedassets6.assets.resG)
[05:10:08.397] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:08.398] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets6.assets.res (target path: app0:/Media/sharedassets6.assets.res)
[05:10:08.399] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:08.400] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets6.assets.resS (target path: app0:/Media/sharedassets6.assets.resS)
[05:10:08.401] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:09.244] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 1970a8a66c6051fab5ee4a188e2559f26d110017f3bb42c083a87591ab719f1f
[05:10:09.245] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader 1970a8a66c6051fab5ee4a188e2559f26d110017f3bb42c083a87591ab719f1f
[05:10:09.246] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) v_vertex
[05:10:09.247] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) v_texcoord
[05:10:09.247] |D| [shader::create_parameters]: [BUFFER0  + 8] pa8 = (float4) v_texcoord1
[05:10:09.248] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) glstate_matrix_mvp[4]
[05:10:09.248] |D| [shader::create_parameters]: [DEFAULT  + 16] sa16 = (float4) unity_LightmapST
[05:10:09.249] |D| [shader::create_parameters]: [DEFAULT  + 20] sa20 = (float4) _MainTex_ST
[05:10:09.259] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 2285c47ce06373ada3b2c5c12f9807123a46f973f63d8e3d6c3486ef55fae6fb
[05:10:09.259] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader 2285c47ce06373ada3b2c5c12f9807123a46f973f63d8e3d6c3486ef55fae6fb
[05:10:09.261] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (half4) _Color
[05:10:09.282] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 11f14a4e6bb7e78d1730bf581c7c51f344eb2b9c84232674799aef69494f2958
[05:10:09.284] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader 11f14a4e6bb7e78d1730bf581c7c51f344eb2b9c84232674799aef69494f2958
[05:10:09.287] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) v_vertex
[05:10:09.287] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) v_color
[05:10:09.288] |D| [shader::create_parameters]: [BUFFER0  + 8] pa8 = (float4) v_texcoord
[05:10:09.288] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) glstate_matrix_mvp[4]
[05:10:09.289] |D| [shader::create_parameters]: [DEFAULT  + 16] sa16 = (float4) _MainTex_ST
[05:10:09.299] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader e114cd80496f6df359d2d8977fd27bbc2e57d8375c40624a64e01eeade28824a
[05:10:09.300] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader e114cd80496f6df359d2d8977fd27bbc2e57d8375c40624a64e01eeade28824a
[05:10:09.302] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float1) _Cutoff
[05:10:09.302] |D| [shader::create_parameters]: [DEFAULT  + 2] sa2 = (float4) _Color
[05:10:09.322] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader c5d13c1ec3ba88f1f4ae98b1b8948b101a1fcb4b944a524a2833f2382104d19f
[05:10:09.323] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader c5d13c1ec3ba88f1f4ae98b1b8948b101a1fcb4b944a524a2833f2382104d19f
[05:10:09.325] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) v_vertex
[05:10:09.325] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) v_color
[05:10:09.326] |D| [shader::create_parameters]: [BUFFER0  + 8] pa8 = (float4) v_texcoord
[05:10:09.326] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) glstate_matrix_mvp[4]
[05:10:09.327] |D| [shader::create_parameters]: [DEFAULT  + 16] sa16 = (float4) _MainTex_ST
[05:10:09.339] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 91f9d675fc63c169653d1015b0bacbdc00b367a81cd6db7e5b035a5a77436e0a
[05:10:09.340] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader 91f9d675fc63c169653d1015b0bacbdc00b367a81cd6db7e5b035a5a77436e0a
[05:10:09.342] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float1) _Cutoff
[05:10:09.342] |D| [shader::create_parameters]: [DEFAULT  + 2] sa2 = (float4) _Color
[05:10:09.365] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 160ba5657bd5ceb04fa1c53949421e528246bb6a876b063bd370d32e6befeedb
[05:10:09.366] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader 160ba5657bd5ceb04fa1c53949421e528246bb6a876b063bd370d32e6befeedb
[05:10:09.368] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) v_vertex
[05:10:09.368] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) v_color
[05:10:09.369] |D| [shader::create_parameters]: [BUFFER0  + 8] pa8 = (float4) v_texcoord
[05:10:09.369] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) glstate_matrix_mvp[4]
[05:10:09.370] |D| [shader::create_parameters]: [DEFAULT  + 16] sa16 = (float4) _MainTex_ST
[05:10:09.384] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 75faf415b119da0b92295c12fc664c6ceb763345829fa9c4da55c576c7370fa8
[05:10:09.384] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader 75faf415b119da0b92295c12fc664c6ceb763345829fa9c4da55c576c7370fa8
[05:10:09.386] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (half4) _TintColor
[05:10:09.387] |D| [shader::create_fragment_inputs]: Iterator: pa0 = (half4) v_Color0
[05:10:09.411] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 797fdaaf632d1b17bbd6e8e852276431b811f4f1e098ff6cb381509fab1eb2e1
[05:10:09.412] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader 797fdaaf632d1b17bbd6e8e852276431b811f4f1e098ff6cb381509fab1eb2e1
[05:10:09.414] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) v_vertex
[05:10:09.414] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) v_normal
[05:10:09.415] |D| [shader::create_parameters]: [BUFFER0  + 8] pa8 = (float4) v_texcoord
[05:10:09.416] |D| [shader::create_parameters]: [DEFAULT  + 48] sa48 = (float3) _WorldSpaceCameraPos
[05:10:09.416] |D| [shader::create_parameters]: [DEFAULT  + 52] sa52 = (half4) _WorldSpaceLightPos0
[05:10:09.417] |D| [shader::create_parameters]: [DEFAULT  + 54] sa54 = (float4) unity_SHAr
[05:10:09.418] |D| [shader::create_parameters]: [DEFAULT  + 58] sa58 = (float4) unity_SHAg
[05:10:09.418] |D| [shader::create_parameters]: [DEFAULT  + 62] sa62 = (float4) unity_SHAb
[05:10:09.419] |D| [shader::create_parameters]: [DEFAULT  + 66] sa66 = (float4) unity_SHBr
[05:10:09.419] |D| [shader::create_parameters]: [DEFAULT  + 70] sa70 = (float4) unity_SHBg
[05:10:09.420] |D| [shader::create_parameters]: [DEFAULT  + 74] sa74 = (float4) unity_SHBb
[05:10:09.421] |D| [shader::create_parameters]: [DEFAULT  + 78] sa78 = (float4) unity_SHC
[05:10:09.424] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) glstate_matrix_mvp[4]
[05:10:09.425] |D| [shader::create_parameters]: [DEFAULT  + 16] sa16 = (float4) _Object2World[4]
[05:10:09.426] |D| [shader::create_parameters]: [DEFAULT  + 32] sa32 = (float4) _World2Object[4]
[05:10:09.426] |D| [shader::create_parameters]: [DEFAULT  + 82] sa82 = (float4) unity_Scale
[05:10:09.427] |D| [shader::create_parameters]: [DEFAULT  + 86] sa86 = (float1) _RimPower
[05:10:09.427] |D| [shader::create_parameters]: [DEFAULT  + 88] sa88 = (half4) _RimColor
[05:10:09.428] |D| [shader::create_parameters]: [DEFAULT  + 90] sa90 = (float4) _MainTex_ST
[05:10:09.486] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader c2f92a4c061c9cecec47349e0c6bcc5b1274d5834bde52ba7267dc9bd00a725d
[05:10:09.487] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader c2f92a4c061c9cecec47349e0c6bcc5b1274d5834bde52ba7267dc9bd00a725d
[05:10:09.489] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (half4) _WorldSpaceLightPos0
[05:10:09.489] |D| [shader::create_parameters]: [DEFAULT  + 2] sa2 = (half4) _LightColor0
[05:10:09.490] |D| [shader::create_parameters]: [DEFAULT  + 4] sa4 = (half4) _SpecColor
[05:10:09.491] |D| [shader::create_parameters]: [DEFAULT  + 6] sa6 = (half4) _Color
[05:10:09.492] |D| [shader::create_parameters]: [DEFAULT  + 8] sa8 = (half4) _SColor
[05:10:09.492] |D| [shader::create_parameters]: [DEFAULT  + 10] sa10 = (half1) _Shininess
[05:10:09.493] |D| [shader::create_fragment_inputs]: Iterator: pa0 = (half4) v_TexCoord1
[05:10:09.493] |D| [shader::create_fragment_inputs]: Iterator: pa6 = (half4) v_TexCoord2
[05:10:09.494] |D| [shader::create_fragment_inputs]: Iterator: pa8 = (half4) v_TexCoord3
[05:10:09.495] |D| [shader::create_fragment_inputs]: Iterator: pa10 = (half4) v_TexCoord4
[05:10:17.838] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets10.assets.resG (target path: app0:/Media/sharedassets10.assets.resG)
[05:10:17.839] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:17.840] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets10.assets.res (target path: app0:/Media/sharedassets10.assets.res)
[05:10:17.841] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:17.842] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets10.assets.resS (target path: app0:/Media/sharedassets10.assets.resS)
[05:10:17.843] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:17.844] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level9.resG (target path: app0:/Media/level9.resG)
[05:10:17.845] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:17.846] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level9.res (target path: app0:/Media/level9.res)
[05:10:17.847] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:17.848] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level9.resS (target path: app0:/Media/level9.resS)
[05:10:17.849] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:18.488] |I| [load_module]: Loading module ID: 0x4C
[05:10:18.491] |I| [load_self]: sys/external/libsceavplayer.suprx: Skipping special segment 0x6FFFFF01...
[05:10:18.491] |I| [load_self]: Loaded module segment 0 @ [0x121C6000 - 0x121DA9FC / 0x81000000] (size: 0x000149FC) of module sys/external/libsceavplayer.suprx
[05:10:18.492] |I| [load_self]: Loaded module segment 1 @ [0x03464000 - 0x0346406C / 0x81015000] (size: 0x0000006C) of module sys/external/libsceavplayer.suprx
[05:10:18.493] |I| [load_self]: Linking SELF sys/external/libsceavplayer.suprx...
[05:10:18.494] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x121D7D40
[05:10:18.495] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x121D6548
[05:10:18.495] |I| [load_module]: Module SceAvPlayer (at "sys/external/libsceavplayer.suprx") loaded
[05:10:18.496] |D| [load_module]: Running module_start of module: SceAvPlayer
[05:10:18.496] |I| [load_module]: Module SceAvPlayer (at "sys/external/libsceavplayer.suprx") module_start returned 0x0
[05:10:18.499] |I| [load_self]: sys/external/libscemp4.suprx: Skipping special segment 0x6FFFFF01...
[05:10:18.499] |I| [load_self]: Loaded module segment 0 @ [0x121DB000 - 0x121EAD20 / 0x81000000] (size: 0x0000FD20) of module sys/external/libscemp4.suprx
[05:10:18.503] |I| [load_self]: Loaded module segment 1 @ [0x03465000 - 0x03465028 / 0x81010000] (size: 0x00000028) of module sys/external/libscemp4.suprx
[05:10:18.504] |I| [load_self]: Linking SELF sys/external/libscemp4.suprx...
[05:10:18.505] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x121EA9D0
[05:10:18.506] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x121E98C4
[05:10:18.507] |I| [load_module]: Module SceMp4 (at "sys/external/libscemp4.suprx") loaded
[05:10:18.521] |I| [export_sceIoOpen]: Opening file: app0:/Media/StreamingAssets/INTRO_PS_VITA.mp4
[05:10:21.783] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets4.assets.resG (target path: app0:/Media/sharedassets4.assets.resG)
[05:10:21.784] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:21.785] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets4.assets.res (target path: app0:/Media/sharedassets4.assets.res)
[05:10:21.787] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:21.787] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets4.assets.resS (target path: app0:/Media/sharedassets4.assets.resS)
[05:10:21.789] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:21.794] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level3.resG (target path: app0:/Media/level3.resG)
[05:10:21.795] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:21.795] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level3.res (target path: app0:/Media/level3.res)
[05:10:21.796] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:21.797] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level3.resS (target path: app0:/Media/level3.resS)
[05:10:21.798] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:21.801] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Resources/unity default resources.resG (target path: app0:/Media/Resources/unity default resources.resG)
[05:10:21.805] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:10:21.806] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Resources/unity default resources.res (target path: app0:/Media/Resources/unity default resources.res)
[05:10:21.807] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
